route_id,origin,destination,distance_nm,transit_days,transshipments,route_type,base_freight_usd
R493,Hamburg,Chennai,8494,30,1,Alternative,2802
R494,Cape Town,New York,10899,28,0,Direct,4485
R495,Vancouver,New York,4459,18,2,Standard,1677
R496,Sydney,Antwerp,19894,73,1,Alternative,6303
R497,Buenos Aires,Colombo,17026,47,0,Direct,5994
R498,Mombasa,Singapore,6539,23,2,Standard,2224
R499,Cape Town,Hong Kong,13291,52,1,Alternative,4678
R500,Hamburg,Long Beach,13726,34,0,Direct,5333
R501,Buenos Aires,Panama City,6440,23,1,Standard,2038
R502,Valparaiso,Cape Town,9939,34,1,Alternative,2622
R503,Sydney,Busan,9933,25,0,Direct,3742
R504,Long Beach,Colombo,23606,73,1,Standard,6500
R505,Valparaiso,Vancouver,9630,36,1,Alternative,2823
R506,Rotterdam,Dubai,5527,13,0,Direct,1968
R507,Dubai,Port Klang,5751,18,1,Standard,1734
R508,Panama City,Seattle,5466,22,2,Alternative,1548
R509,Long Beach,Port Klang,25411,63,0,Direct,6500
R510,Tokyo,Rotterdam,14831,48,1,Standard,5251
R511,Barcelona,Hamburg,2152,10,1,Alternative,900
R512,Long Beach,Valparaiso,9907,26,0,Direct,4483
R513,Antwerp,Los Angeles,14712,43,1,Standard,6069
R514,Cape Town,Los Angeles,17463,71,2,Alternative,5577
R515,Los Angeles,Hong Kong,21371,53,0,Direct,6500
R516,Rotterdam,Los Angeles,13050,40,1,Standard,4751
R517,Seattle,Vancouver,537,5,1,Alternative,900
R518,Dubai,Durban,6239,16,0,Direct,2854
R519,Panama City,Colombo,17974,53,1,Standard,6271
R520,Busan,Santos,20311,76,1,Alternative,6500
R521,Chennai,Genoa,7651,17,0,Direct,2753
R522,Los Angeles,Sydney,24600,70,1,Standard,6500
R523,Vancouver,Sydney,30718,97,2,Alternative,6500
R524,Antwerp,Buenos Aires,10098,25,0,Direct,3990
R525,Jebel Ali,Panama City,13606,41,1,Standard,4312
R526,Seattle,Dubai,16070,57,2,Alternative,5714
R527,Barcelona,New York,7087,19,0,Direct,3345
R528,Chennai,Shanghai,4694,19,2,Standard,1472
R529,Mombasa,Port Klang,6262,29,2,Alternative,1919
R530,Hamburg,Durban,11814,31,0,Direct,4455
R531,New York,Valparaiso,7667,28,2,Standard,3002
R532,Busan,Cape Town,14252,58,2,Alternative,5023
R533,Tokyo,Los Angeles,29792,74,0,Direct,6500
R534,Hamburg,Cape Town,9687,28,1,Standard,3982
R535,Durban,Seattle,18326,71,1,Alternative,5007
R536,Valparaiso,Santos,3181,9,0,Direct,1451
R537,Los Angeles,Durban,19552,57,1,Standard,6500
R538,Santos,Mombasa,9740,35,1,Alternative,2860
R539,Busan,Mombasa,11079,25,0,Direct,4073
R540,Hong Kong,Vancouver,24419,69,1,Standard,6500
R541,Mumbai,Vancouver,17827,74,2,Alternative,6500
R542,Mombasa,New York,12570,32,0,Direct,4325
R543,Shanghai,Singapore,4505,16,1,Standard,1461
R544,Dubai,Singapore,5184,20,1,Alternative,1763
R545,Antwerp,Sydney,18915,48,0,Direct,6500
R546,Barcelona,London,1388,6,1,Standard,900
R547,Hamburg,Antwerp,1333,7,1,Alternative,900
R548,Sydney,Seattle,31652,75,0,Direct,6500
R549,Busan,Vancouver,25104,71,1,Standard,6500
R550,Santos,Shanghai,16762,62,1,Alternative,4835
R551,Panama City,Shanghai,23361,61,0,Direct,6500
R552,Mumbai,Dubai,2272,10,2,Standard,969
R553,Colombo,Mombasa,4149,18,1,Alternative,1519
R554,Antwerp,Chennai,10152,24,0,Direct,4798
R555,Singapore,Cape Town,9931,29,1,Standard,4259
R556,Hamburg,Busan,10336,38,2,Alternative,3624
R557,Cape Town,Barcelona,10772,26,0,Direct,4192
R558,Jebel Ali,Sydney,12093,37,2,Standard,4943
R559,Hong Kong,Sydney,9129,39,2,Alternative,2418
R560,Port Klang,Seattle,18673,49,0,Direct,6500
R561,Cape Town,Chennai,7179,22,1,Standard,2471
R562,Valparaiso,Busan,18433,73,1,Alternative,6198
R563,Jebel Ali,Hamburg,7304,20,0,Direct,3021
R564,Hamburg,Tokyo,12002,36,1,Standard,4633
R565,Long Beach,Hamburg,13312,53,2,Alternative,5149
R566,Jebel Ali,Chennai,3602,9,0,Direct,1709
R567,Mombasa,Santos,9325,29,2,Standard,3638
R568,Port Klang,Hamburg,12927,44,1,Alternative,4729
R569,Shanghai,Jebel Ali,6897,17,0,Direct,2467
R570,Los Angeles,Panama City,6007,22,2,Standard,2578
R571,Jebel Ali,Buenos Aires,15529,53,1,Alternative,5896
R572,Rotterdam,Panama City,11642,28,0,Direct,4127
R573,Cape Town,Rotterdam,10724,39,2,Standard,3700
R574,Jebel Ali,London,6423,23,1,Alternative,2229
R575,Los Angeles,Hamburg,14042,35,0,Direct,5295
R576,Valparaiso,Sydney,19194,62,1,Standard,6027
R577,Hong Kong,Singapore,2626,14,2,Alternative,1013
R578,Vancouver,Port Klang,26197,61,0,Direct,6500
R579,Tokyo,New York,19894,62,2,Standard,6500
R580,Antwerp,Seattle,10570,40,1,Alternative,3186
R581,Rotterdam,Hong Kong,13245,34,0,Direct,6149
R582,Colombo,Chennai,807,6,2,Standard,900
R583,Genoa,Jebel Ali,5356,23,2,Alternative,1692
R584,Shanghai,Valparaiso,21890,51,0,Direct,6500
R585,Valparaiso,Genoa,10331,33,1,Standard,3843
R586,Port Klang,Jebel Ali,6700,27,2,Alternative,2001
R587,Colombo,New York,13164,32,0,Direct,6023
R588,Rotterdam,Antwerp,541,4,1,Standard,900
R589,Mumbai,Long Beach,20206,79,2,Alternative,5321
R590,Genoa,Los Angeles,10919,25,0,Direct,4436
R591,Tokyo,Valparaiso,18781,58,1,Standard,6500
R592,Mombasa,Hamburg,6822,31,2,Alternative,2559
R593,Sydney,Port Klang,6660,18,0,Direct,2674
R594,Colombo,Antwerp,8416,32,2,Standard,3347
R595,Mombasa,Seattle,17933,61,2,Alternative,5627
R596,Buenos Aires,Mombasa,11407,28,0,Direct,5221
R597,Hamburg,Jebel Ali,6717,23,2,Standard,2832
R598,Mumbai,Hong Kong,4409,22,2,Alternative,1372
R599,Antwerp,Vancouver,14047,35,0,Direct,6500
R600,Colombo,Vancouver,23234,79,2,Standard,6500
R601,Tokyo,Sydney,7500,15,1,Alternative,5140
R602,Tokyo,Sydney,4762,15,1,Alternative,4820
